store_name,product_name,total_units_sold,total_revenue,total_points_issued,points_per_dollar,avg_unit_price
City Fresh Store,Orange Juice,41.0,690.07000000000000,4901,7.1021780399090000,16.830975609756100
City Fresh Store,Salmon,53.0,603.04000000000000,4887,8.1039400371451300,11.378113207547200
City Fresh Store,Rice,51.0,683.6,4308,6.3019309537741400,13.403921568627500
City Fresh Store,Potatoes,41.0,632.19,3855,6.0978503298059100,15.419268292682900
City Fresh Store,Yogurt,49.0,564.83,3791,6.7117539790733500,11.527142857142900
City Fresh Store,Cereal,59.0,1028.32,3786,3.6817333125875200,17.429152542372900
City Fresh Store,Chicken Breast,32.0,547.86,3676,6.7097433650932700,17.120625
City Fresh Store,Ground Beef,39.0,460.2300000000000,3656,7.9438541598765800,11.800769230769200
City Fresh Store,Bread,56.0,920.94000000000000,3630,3.9416248615545000,16.445357142857100
City Fresh Store,Onions,36.0,577.66,3221,5.5759443271128400,16.046111111111100
City Fresh Store,Apples,32.0,292.85000000000000,3134,10.701724432303200,9.1515625000000000
City Fresh Store,Milk,44.0,576.74,3010,5.2189894926656700,13.107727272727300
City Fresh Store,Pasta,39.0,562.25,2855,5.0778123610493600,14.416666666666700
City Fresh Store,Carrots,21.0,339.05,2582,7.6153959592980400,16.145238095238100
City Fresh Store,Eggs,31.0,435.2,2539,5.8340992647058800,14.038709677419400
City Fresh Store,Cheese,25.0,300.70000000000000,2063,6.8606584635849700,12.028000000000000
City Fresh Store,Tomatoes,19.0,294.09,1917,6.5184127307967000,15.478421052631600
City Fresh Store,Bananas,21.0,279.08,1635,5.8585351870431400,13.289523809523800
Corner Grocery,Milk,44.0,594.28,4542,7.6428619505956800,13.506363636363600
Corner Grocery,Chicken Breast,54.0,825.04,4420,5.35731600892078,15.278518518518500
Corner Grocery,Bananas,70.0,955.25000000000000,4192,4.3883800052342300,13.646428571428600
Corner Grocery,Onions,51.0,813.82,4175,5.1301270551227500,15.957254901960800
Corner Grocery,Tomatoes,38.0,365.67000000000000,3835,10.487598107583300,9.6228947368421000
Corner Grocery,Cheese,51.0,762.23,3293,4.32021830681028,14.945686274509800
Corner Grocery,Salmon,43.0,563.88,3115,5.5242250124139900,13.113488372093000
Corner Grocery,Eggs,34.0,307.15,3110,10.125345922187900,9.0338235294117600
Corner Grocery,Cereal,38.0,462.5,3025,6.54054054054054,12.171052631578900
Corner Grocery,Pasta,33.0,513.72000000000000,2780,5.4115082145916100,15.567272727272700
Corner Grocery,Potatoes,25.0,474.29000000000000,2774,5.8487423306415900,18.9716
Corner Grocery,Orange Juice,26.0,408.13000000000000,2765,6.77480214637493,15.697307692307700
Corner Grocery,Bread,28.0,324.84000000000000,2522,7.763822189385540,11.601428571428600
Corner Grocery,Apples,30.0,499.44,2432,4.8694537882428300,16.648
Corner Grocery,Yogurt,17.0,222.30000000000000,2307,10.3778677462888,13.076470588235300
Corner Grocery,Rice,37.0,462.1,2096,4.5358147587102400,12.48918918918920
Corner Grocery,Ground Beef,23.0,489.35000000000000,1703,3.4801266986819200,21.276086956521700
Corner Grocery,Carrots,19.0,241.51,1174,4.8610823568382300,12.711052631578900
FamilyFood Express,Cereal,36.0,449.17000000000000,4744,10.56170269608390,12.476944444444400
FamilyFood Express,Bread,56.0,706.0100000000000,4629,6.55656435461254,12.60732142857140
FamilyFood Express,Yogurt,45.0,616.44,4359,7.07124781000584,13.698666666666700
FamilyFood Express,Potatoes,58.0,821.08,4223,5.1432259950309300,14.156551724137900
FamilyFood Express,Orange Juice,44.0,555.25,4165,7.5011256190905,12.619318181818200
FamilyFood Express,Onions,23.0,343.30000000000000,4084,11.896300611709900,14.926086956521700
FamilyFood Express,Eggs,55.0,590.74,3914,6.6255882452517200,10.740727272727300
FamilyFood Express,Salmon,37.0,635.95,3523,5.5397436905417100,17.18783783783780
FamilyFood Express,Cheese,41.0,457.68000000000000,3333,7.2823807026743600,11.162926829268300
FamilyFood Express,Carrots,46.0,540.35,3299,6.1053021189969500,11.746739130434800
FamilyFood Express,Chicken Breast,27.0,321.4200000000000,3062,9.5264762615892,11.90444444444440
FamilyFood Express,Apples,32.0,260.65,2943,11.291003261078100,8.1453125
FamilyFood Express,Tomatoes,26.0,333.79000000000000,2234,6.69283082177417,12.838076923076900
FamilyFood Express,Pasta,21.0,306.89,2061,6.7157613477141600,14.613809523809500
FamilyFood Express,Milk,16.0,193.2,1862,9.6376811594202900,12.075
FamilyFood Express,Rice,20.0,277.11,1849,6.6724405470751700,13.855500000000000
FamilyFood Express,Ground Beef,16.0,170.68000000000000,1735,10.165221467072900,10.667500000000000
FamilyFood Express,Bananas,12.0,139.78,922,6.5960795535842000,11.648333333333300
FreshMart Downtown,Yogurt,42.0,634.69,5347,8.42458523058501,15.111666666666700
FreshMart Downtown,Milk,34.0,507.12000000000000,4110,8.1045906294368200,14.915294117647100
FreshMart Downtown,Chicken Breast,42.0,490.28,4057,8.27486334339561,11.673333333333300
FreshMart Downtown,Bananas,43.0,740.2,3995,5.3971899486625200,17.213953488372100
FreshMart Downtown,Orange Juice,42.0,650.57000000000000,3614,5.5551285795533200,15.489761904761900
FreshMart Downtown,Cheese,35.0,579.37,3334,5.754526468405340,16.553428571428600
FreshMart Downtown,Tomatoes,32.0,407.39000000000000,2846,6.9859348535801100,12.730937500000000
FreshMart Downtown,Apples,42.0,586.6100000000000,2650,4.5174818022195300,13.966904761904800
FreshMart Downtown,Cereal,27.0,315.88,2621,8.29745472964417,11.699259259259300
FreshMart Downtown,Onions,26.0,440.4,2541,5.7697547683923700,16.938461538461500
FreshMart Downtown,Potatoes,29.0,396.66000000000000,2397,6.0429587051883200,13.677931034482800
FreshMart Downtown,Ground Beef,19.0,374.81,2284,6.0937541687788500,19.72684210526320
FreshMart Downtown,Rice,27.0,443.63,2017,4.5465816108017900,16.430740740740700
FreshMart Downtown,Pasta,31.0,506.29,1952,3.8554978372079200,16.331935483871000
FreshMart Downtown,Carrots,17.0,173.26,1803,10.406325753203300,10.191764705882400
FreshMart Downtown,Bread,19.0,364.69000000000000,1738,4.76569140914201,19.194210526315800
FreshMart Downtown,Eggs,23.0,426.41000000000000,1701,3.9891184540700300,18.539565217391300
FreshMart Downtown,Salmon,16.0,168.61,1425,8.45145602277445,10.538125
GreenGrocer Plaza,Potatoes,61.0,854.24,4824,5.6471249297621300,14.003934426229500
GreenGrocer Plaza,Orange Juice,55.0,686.0,4563,6.6516034985422700,12.472727272727300
GreenGrocer Plaza,Cheese,52.0,571.34,4402,7.7046942276052800,10.987307692307700
GreenGrocer Plaza,Ground Beef,41.0,707.4,4073,5.7577042691546500,17.253658536585400
GreenGrocer Plaza,Onions,41.0,449.7,3939,8.75917278185457,10.96829268292680
GreenGrocer Plaza,Apples,42.0,639.2,3825,5.9840425531914900,15.21904761904760
GreenGrocer Plaza,Bread,35.0,620.68000000000000,3437,5.5374750273893100,17.733714285714300
GreenGrocer Plaza,Cereal,34.0,480.31,3322,6.9163665132935000,14.126764705882400
GreenGrocer Plaza,Carrots,26.0,483.58000000000000,3321,6.8675296745109400,18.599230769230800
GreenGrocer Plaza,Tomatoes,21.0,277.67,2854,10.278388014549600,13.222380952381000
GreenGrocer Plaza,Chicken Breast,47.0,688.37000000000000,2811,4.0835597135261600,14.646170212766000
GreenGrocer Plaza,Rice,28.0,453.42000000000000,2514,5.5445282519518300,16.193571428571400
GreenGrocer Plaza,Pasta,28.0,438.21000000000000,2348,5.3581616120125000,15.650357142857100
GreenGrocer Plaza,Bananas,36.0,678.62000000000000,2334,3.4393327635495600,18.850555555555600
GreenGrocer Plaza,Yogurt,26.0,398.32000000000000,2323,5.8319943763808000,15.320000000000000
GreenGrocer Plaza,Eggs,23.0,443.83000000000000,2172,4.893765630984840,19.296956521739100
GreenGrocer Plaza,Milk,35.0,493.6,2169,4.3942463533225300,14.102857142857100
GreenGrocer Plaza,Salmon,43.0,516.2700000000000,1861,3.6047029655025500,12.006279069767400
MegaMart Westside,Tomatoes,69.0,1152.04,5013,4.3514114093260700,16.696231884058000
MegaMart Westside,Onions,51.0,690.94,4468,6.4665528121110400,13.547843137254900
MegaMart Westside,Apples,51.0,1006.6700000000000,4184,4.1562776282197700,19.738627450980400
MegaMart Westside,Potatoes,45.0,612.67000000000000,4071,6.6446863727618400,13.61488888888890
MegaMart Westside,Bread,35.0,517.9,3953,7.63274763467851,14.797142857142900
MegaMart Westside,Salmon,32.0,450.66000000000000,3519,7.8085474637198800,14.083125000000000
MegaMart Westside,Chicken Breast,42.0,453.75000000000000,3457,7.6187327823691500,10.803571428571400
MegaMart Westside,Rice,33.0,363.88,3370,9.2612949323952900,11.026666666666700
MegaMart Westside,Cereal,38.0,657.12,3182,4.8423423423423400,17.292631578947400
MegaMart Westside,Ground Beef,46.0,558.08,3137,5.6210579128440400,12.132173913043500
MegaMart Westside,Milk,17.0,227.81,2782,12.211930995127500,13.400588235294100
MegaMart Westside,Pasta,30.0,330.58,2753,8.3277875249561400,11.019333333333300
MegaMart Westside,Eggs,28.0,480.28000000000000,2691,5.6029815940701300,17.152857142857100
MegaMart Westside,Cheese,23.0,244.49,2484,10.159924741298200,10.63
MegaMart Westside,Carrots,26.0,272.87,2116,7.7546084215927,10.495000000000000
MegaMart Westside,Yogurt,30.0,309.95000000000000,1764,5.6912405226649400,10.331666666666700
MegaMart Westside,Bananas,29.0,418.87,1714,4.0919617064960500,14.443793103448300
MegaMart Westside,Orange Juice,33.0,547.23,1658,3.0298046525227100,16.582727272727300
QuickStop Market,Tomatoes,51.0,677.19000000000000,5649,8.3418243033712800,13.278235294117600
QuickStop Market,Eggs,34.0,533.45,4445,8.332552254194400,15.689705882352900
QuickStop Market,Bread,40.0,646.09000000000000,4165,6.4464703059945200,16.15225
QuickStop Market,Onions,40.0,341.91,4020,11.75748003860670,8.54775
QuickStop Market,Rice,57.0,781.45000000000000,3899,4.9894427026681200,13.709649122807000
QuickStop Market,Bananas,40.0,625.94000000000000,3574,5.7098124420871000,15.648500000000000
QuickStop Market,Carrots,31.0,326.94,3160,9.6653820272832900,10.546451612903200
QuickStop Market,Pasta,47.0,681.78000000000000,3103,4.5513215406729400,14.505957446808500
QuickStop Market,Cheese,32.0,532.60000000000000,2986,5.6064588809613200,16.643750000000000
QuickStop Market,Cereal,30.0,430.49000000000000,2952,6.8573021440683900,14.349666666666700
QuickStop Market,Salmon,31.0,444.76,2913,6.5495997841532500,14.347096774193500
QuickStop Market,Milk,27.0,274.06,2743,10.008757206451100,10.15037037037040
QuickStop Market,Orange Juice,26.0,288.19,2586,8.9732468163364500,11.08423076923080
QuickStop Market,Apples,29.0,332.91,2297,6.8997626986272600,11.479655172413800
QuickStop Market,Chicken Breast,32.0,431.6,2073,4.8030583873957400,13.4875
QuickStop Market,Yogurt,35.0,352.29,2044,5.8020380936160500,10.065428571428600
QuickStop Market,Potatoes,26.0,376.71,1975,5.2427596825144000,14.488846153846200
QuickStop Market,Ground Beef,12.0,104.53,1186,11.346025064574800,8.7108333333333300
SuperSave Central,Eggs,57.0,881.77000000000000,5440,6.1694092563820500,15.469649122807000
SuperSave Central,Cereal,46.0,585.74,5138,8.7718100180967700,12.733478260869600
SuperSave Central,Onions,43.0,533.07,4488,8.4191569587483800,12.396976744186000
SuperSave Central,Pasta,42.0,770.79000000000000,4119,5.3438679796053400,18.352142857142900
SuperSave Central,Chicken Breast,60.0,763.41,3865,5.0628102854298500,12.7235
SuperSave Central,Tomatoes,56.0,897.8900000000000,3611,4.021650759001660,16.03375
SuperSave Central,Carrots,52.0,652.52000000000000,3502,5.3668853061975100,12.548461538461500
SuperSave Central,Potatoes,42.0,698.04,3423,4.9037304452466900,16.620000000000000
SuperSave Central,Milk,27.0,385.8,2911,7.5453602903058600,14.28888888888890
SuperSave Central,Apples,36.0,489.43000000000000,2852,5.8271867274176100,13.595277777777800
SuperSave Central,Cheese,34.0,388.21,2763,7.1172818835166500,11.417941176470600
SuperSave Central,Rice,23.0,402.03,2759,6.8626719399049800,17.479565217391300
SuperSave Central,Bread,36.0,539.15,2684,4.9782064360567600,14.976388888888900
SuperSave Central,Yogurt,29.0,318.78,2494,7.8235773887947800,10.992413793103400
SuperSave Central,Salmon,33.0,461.07000000000000,2373,5.1467239247836600,13.971818181818200
SuperSave Central,Bananas,34.0,411.16000000000000,2175,5.2899114699873500,12.092941176470600
SuperSave Central,Orange Juice,20.0,271.26,1977,7.2882105728821100,13.563000000000000
SuperSave Central,Ground Beef,27.0,409.77000000000000,1205,2.9406740366547100,15.176666666666700
ValuePlus Market,Tomatoes,54.0,975.98000000000000,4706,4.8218201192647400,18.073703703703700
ValuePlus Market,Yogurt,53.0,792.97,4502,5.677390065197930,14.961698113207500
ValuePlus Market,Bread,41.0,424.51,3472,8.1788414878330300,10.35390243902440
ValuePlus Market,Chicken Breast,41.0,617.06000000000000,3298,5.344699056817810,15.050243902439000
ValuePlus Market,Orange Juice,38.0,412.66000000000000,3273,7.9314690059613200,10.859473684210500
ValuePlus Market,Salmon,45.0,553.66000000000000,3142,5.6749629736661500,12.303555555555600
ValuePlus Market,Apples,28.0,447.88000000000000,2983,6.6602661427168,15.995714285714300
ValuePlus Market,Milk,34.0,379.76000000000000,2806,7.3888771855909000,11.169411764705900
ValuePlus Market,Onions,29.0,414.87,2614,6.3007689155639100,14.305862068965500
ValuePlus Market,Ground Beef,34.0,380.38000000000000,2552,6.7090803932909200,11.187647058823500
ValuePlus Market,Eggs,48.0,726.7600000000000,2472,3.4013979855798300,15.140833333333300
ValuePlus Market,Carrots,32.0,334.21,2454,7.342688728643670,10.4440625
ValuePlus Market,Bananas,31.0,447.84000000000000,2344,5.2340121471954300,14.446451612903200
ValuePlus Market,Potatoes,26.0,440.37000000000000,2224,5.050298612530370,16.937307692307700
ValuePlus Market,Cheese,27.0,331.79,2060,6.2087464962777700,12.288518518518500
ValuePlus Market,Cereal,27.0,279.15,2029,7.2684936414114300,10.338888888888900
ValuePlus Market,Pasta,25.0,363.26,1926,5.3019875571216200,14.5304
ValuePlus Market,Rice,28.0,338.13,1895,5.6043533552184100,12.076071428571400